锂电池型号,电芯品牌,电压(V),容量(Ah),尺寸(mm),总重量(kg),模组串并联方式,适用叉车型号,单体电芯容量(Ah),模组配置(串S并P联）,对应铅酸电池电压(V),含配重(kg),电池详情,长(mm),宽(mm),高(mm),锂电池型号编码,电芯品牌编码
F36840BF,瑞浦,38.4,840.0,982x860x595,1406.0,N/A,Toyota 8FBCU32,280,12S3P,36,970,"型号：F36840BF叉车项目： 电芯：瑞浦LF230Ah ，组合方式：12S3P； 电压：38.4V ；容量：840Ah ；电量：32.25KWh（箱体最大尺寸：982*860*595mm），配重970KG；总重量1406KG；带4G模块，带加热功能，放电接头为 Anderson SB350A Gray,放电线长为1300mm,SOC显示屏线长3M，BMS-自研。（叉车型号：Toyota 8FBCU32）",982.0,860.0,595.0,584,1
F48560AS-J,瑞浦,51.2,560.0,831x630x627,,N/A,N/A,280,16S2P,48,-,型号：F48560AS-J 叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸： 831×630×627mm) 带4G模块，带加热，BMS-自研。（展机-箱体+维修窗口使用亚克力，能看到里面）,831.0,630.0,627.0,1020,1
F48460J-A,瑞浦,51.2,460.0,830x630x627,856.0,N/A,N/A,230,16S2P,48,592,型号：F48460J-A叉车项目： 电芯：瑞浦230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：830*630*627mm）配重：592KG，总重量：856KG，BMS-自研。（此电池原来为F48460J，没有4G功能，故重新立项；）,830.0,630.0,627.0,982,1
F48560EC,瑞浦,51.2,560.0,980x627x625,1050.0,N/A,Bobcat B20T-7P,280,16S2P,48,654,"型号：F48560EC车项目： 电芯：瑞浦LF280Ah， 组合方式：16S2P ，电压：51.2V， 容量：560Ah ，电量：28.672KWh，箱体尺寸：980×627×625mm，配重654KG，总重量：1050KG，带加热，带4G，放电接头为Rema 320A Female ,放电线长为1.3Ｍ, 充电线长0.8M, 显示屏线长3.2M，BMS-自研。（叉车型号：Bobcat B20T-7P）",980.0,627.0,625.0,1105,1
F48690CY,瑞浦,51.2,690.0,815x526x760,980.0,N/A,Hubtex MQ30,230,16S3P,48,585,"型号：F48690CY叉车项目； 电芯：瑞浦230Ah ，组合方式：16S3P； 电压：51.2V ；容量：690Ah； 电量：35.328KWh,箱体尺寸：815*526*760mm,配重585KG，总重980KG，带4G模块，带加热，放电插头:euro 320 connector，BMS-自研。（叉车型号：Hubtex MQ30）",815.0,526.0,760.0,1257,1
F24230Q,瑞浦,25.6,230.0,624x284x627,288.0,N/A,Hyster P2.0S,230,8S1P,24,228,型号：F24230Q叉车项目; 电芯：瑞浦230Ah ，组合方式：8S1P； 电压：20.8V~29.2V； 容量：230Ah； 电量：5.888KWh（箱体尺寸：624*284*627mm）;配重228KG；总重量：288KG，带4G模块，带加热，放电线接口为Rema 160母头，线长1m；显示屏线长3M，自研BMS。（叉车型号：Hyster P2.0S）,624.0,284.0,627.0,181,1
F80460B,EVE,80.0,460.0,1030x850x794,1800.0,N/A,N/A,230,25S2P,80,-,型号：F80460B叉车项目： 电芯：EVE230Ah ，组合方式：25S2P 电压：80V 容量：460Ah 电量：36.8KWh（箱体尺寸：1030*850*794mm）。重量：1800KG  放电插头：Rema  320公插头,1030.0,850.0,794.0,1404,0
F48420BM,EVE,51.2,420.0,950x350x570,300.0,N/A,N/A,105,16S4P,48,0,型号：F48420BM叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.5KWh（箱体尺寸：950x350x570mm）不带配重，总重量300KG，带4G模块，不带加热功能，放电插头：REMA 320A  黑色，BMS-自研。,950.0,350.0,570.0,797,0
F48560K-A,瑞浦,51.2,560.0,970x680x570,,N/A,N/A,280,16S2P,48,850,型号：F48560K-A 叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：970*680*570mm) 带配重850kg，  放电插头：SB350 Blue（匹配100A充电器，充电插头为REMA160A）,970.0,680.0,570.0,1126,1
F24460K,瑞浦,25.6,460.0,780x330x628,455.0,N/A,Crown SHC5540-40,230,8S2P,24,297,型号：F24460K叉车项目： 电芯：瑞浦230 组合方式：8S2P 电压：25.6V 容量：460Ah 电量：11.776KWh（780x330x628mm），配重297KG，总重量455KG，带加热功能，带4G模块，加上盖，BMS-自研。（叉车型号:Crown SHC5540-40）,780.0,330.0,628.0,323,1
F24210S,EVE,25.6,210.0,750x170x570,,N/A,N/A,105,8S2P,24,142,型号：F24210S叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（750*170*570mm）带配重，配重总量142kg。带加热，不带4G模块，MOS板,750.0,170.0,570.0,147,0
F24608C,EVE,25.6,608.0,792x357x812,,N/A,N/A,304,8S2P,24,259,型号：F24608C叉车项目： 电芯：EVELF304 组合方式：8S2P 电压：25.6V 容量：608Ah 电量：7.782KWh（792×357×812mm）带配重，铁块重量：259kg，BMS-自研，带4G模块功能，带加热功能。,792.0,357.0,812.0,362,0
F48420AW,EVE,51.2,420.0,830x522x627,,N/A,N/A,105,16S4P,48,458,型号：F48420AW叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh，尺寸：（830*522*627mm）带配重，铁块重量：458kg，自研BMS，带4G模块，带加热功能 。,830.0,522.0,627.0,780,0
F36690AY,瑞浦,38.4,690.0,970x518x749,1227.0,N/A,Yale ESC040AD,230,12S3P,36,941,型号：F36690AY叉车项目： 电芯：瑞浦230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：970*518*749mm），配重：941KG，总重量：1227KG，带加热功能，带4G模块，BMS-自研。（需要HYG CAN 通讯(旧协议)；叉车型号：YALE ESC040AD）,970.0,518.0,749.0,505,1
F24230D,瑞浦,25.6,230.0,790x330x580,445.0,N/A,N/A,230,8S1P,24,288,型号：F24230D叉车项目： 电芯：瑞普230Ah ，组合方式：8S1P 电压：25.6V 容量：230Ah 电量：5.888KWh（箱体尺寸：790*330*580mm）带配重，铁块重量：288KG，总重量：445KG，不带4G模块，带加热功能，自研BMS。（持续充电电流要求为0.7C（15度-40度））,790.0,330.0,580.0,174,1
F36160A,EVE,38.4,160.0,735x275x330,70.0,N/A,Taylor Dunn C4-32,160,12S1P,36,0,型号：F36160A叉车项目： 电芯：亿伟160 ，组合方式：12S1P 电压：38.4V 容量：160Ah 电量：6.144KWh（箱体最大尺寸：735*275*330mm）不带配重，总重量：70KG，带4G模块，无加热功能，BMS-自研。（牵引车型号Taylor-Dunn C4-32）,735.0,275.0,330.0,378,0
F48460AH-A,瑞浦,51.2,460.0,1030x529x627,890.0,N/A,Still RX20-20P Still,230,16S2P,48,552,型号：F48460AH-A叉车项目： 电芯：瑞浦230Ah ，组合方式：16S2P， 电压：51.2V ，容量：460Ah ，电量：23.552KWh，箱体尺寸：1030*529*627mm，带配重552kg，总重量890kg；带加热，带4G，放电头REMA320A FEMALE，BMS-自研。（叉车型号：STILL RX20-20P STILL）,1030.0,529.0,627.0,866,1
F48460AB,EVE,51.2,460.0,830x738x627,1000.0,N/A,N/A,230,16S2P,48,674,型号：F48460AB叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：830*738*627mm）带配重，铁块重量674kg，总重量1000kg；带4G模块，不带加热功能，BMS-自研。,830.0,738.0,627.0,857,0
F80460AE,瑞浦,83.2,460.0,1028x680x780,1420.0,N/A,Hyster J3.5UT,230,26S2P,80,993,型号：F80460AE叉车项目： 电芯：瑞浦230Ah ，组合方式：26S2P 电压：83.2V 容量：460Ah 电量：38.272KWh（箱体尺寸：1028*680*780mm），配重重量：993kg，总重量：1420KG，带加热功能，带4G模块，自研BMS。（叉车型号：Hyster J3.5UT）,1028.0,680.0,780.0,1391,1
F80608A,EVE,80.0,608.0,1023x708x760,2100.0,N/A,N/A,304,26S2P,80,920,型号：F80608A叉车项目： 电芯：EVE304Ah ，组合方式：26S2P 电压：80V 容量：304Ah 电量：50.585KWh（箱体尺寸：1023*708+（配重尺寸144*2）*760mm）(带配重，配重重量：920kg）总重量：2100KG，带加热功能，带4G模块，自研BMS。,1023.0,708.0,760.0,1459,0
F24280AA,瑞浦,25.6,280.0,621x283x627,171.0,N/A,Linde T20SF,280,8S1P,24,75,型号：F24280AA叉车项目： 电芯：瑞浦280Ah 组合方式：8S1P 电压：25.6V 容量：280Ah 电量：7.168KWh；总重量：84KG，箱体尺寸：（621 x 283x 627mm）总重量171KG，配重75KG；带加热功能，带4G模块，BMS-自研。（叉车型号：Linde T20SF）,621.0,283.0,627.0,189,1
F80640A,EVE,80.0,640.0,1025x996x784,2095.0,N/A,Hyundai 50B-9,160,25S4P,80,1378,型号：F80640A叉车项目： 电芯：EVE160Ah ，组合方式：25S4P 电压：80V 容量：640Ah 电量：51.2KWh（箱体尺寸：1025*996*784mm），配重重量：1378kg，总重量：2095KG，带加热功能，带4G模块，自研BMS。（叉车型号：Hyundai 50B-9）,1025.0,996.0,784.0,1471,0
F48690W,瑞浦,51.2,690.0,978x630x635,1140.0,N/A,Hyundai,230,16S3P,48,790,型号：F48690W叉车项目： 电芯：瑞浦230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：978*630*635mm）带配重，铁块重量：790kg，总重量：1140kg，带加热功能，带4G模块，BMS-自研。(韩国现代，带通讯协议）,978.0,630.0,635.0,1276,1
F48560CD,瑞浦,51.2,560.0,990x652x627,810.0,N/A,Toyota 8FB25,280,16S2P,48,482,型号：F48560CD叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：990*652*627mm) 配重482KG，总重量810KG，带加热功能，带4G模块，BMS-自研。（叉车型号：Toyota 8FBN25；需求IEC62619认证）,990.0,652.0,627.0,1058,1
F36840C,瑞浦,38.4,840.0,860x892x595,,N/A,N/A,280,12S3P,36,970,型号：F36840C叉车项目： 电芯：瑞浦280Ah ，组合方式：12S3P 电压：38.4V 容量：840Ah 电量：32.256KWh（箱体最大尺寸：860 x 892x 595mm）带配重，铁块重量：970KG，带4G模块，带加热功能，BMS-自研。,860.0,892.0,595.0,592,1
F48420M-A,EVE,51.2,420.0,830x630x627,450.0,N/A,N/A,105,16S4P,48,-,"型号：F48420M-A叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：830x630x627mm）带配重，重量450KG,放电插头为Rema160A母头。",830.0,630.0,627.0,837,0
F24100G-H,EVE,25.6,105.0,635x180x538,90.7,N/A,Toyota 8HBW23,105,8S1P,24,36,"型号：F24100G-H叉车项目： 电芯：EVELF105 ,组合方式：8S1P ,电压：25.6V ,容量：105Ah ,电量：2.56KWh，箱体尺寸：635*180*538mm，配重：36KG，总重量：90.7KG，自研BMS。（所有外部细节尺寸和设计同F24100G-E, 唯一不同的是增加配重）叉车型号：Toyota 8HBW23",635.0,180.0,538.0,18,0
F48690AL,EVE,51.2,690.0,901x813x554,1140.0,N/A,N/A,230,16S3P,48,715,型号：F48690AL叉车项目： 电芯：EVE230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：901*813*554mm）带配重，铁块重量：715kg，总重量：1140KG，带加热功能，不带4G模块，BMS-自研。,901.0,813.0,554.0,1192,0
F80460R,EVE,80.0,460.0,913x847x1018,1000.0,N/A,N/A,230,25S2P,80,776,型号：F80460R叉车项目： 电芯：EVE230Ah ，组合方式：25S2P 电压：80V 容量：460Ah 电量：36.8KWh（A箱体尺寸：913x847x1018mm；B箱尺寸：647x319x710mm）A箱配重重量：776kg，A箱子总重量：1000kg；B箱为纯配重，总重量882KG，带加热功能，带4G模块，BMS-自研。,913.0,847.0,1018.0,1417,0
F24280K,瑞浦,25.6,280.0,644x218x587,225.0,N/A,N/A,280,8S1P,24,135,型号：F24280K叉车项目： 电芯：瑞浦280Ah 组合方式：8S1P 电压：25.6V 容量：280Ah 电量：7.168KWh。（配重重量135kg，总重量：225KG，箱体尺寸：644 x 218x 587mm）带加热功能，带4G模块，BMS-自研。,644.0,218.0,587.0,209,1
F24160K,EVE,25.6,160.0,643x196x570,198.0,N/A,N/A,160,8S1P,24,0,型号：F24160K叉车项目： 电芯：EVELF160 组合方式：8S1P 电压：25.6V 容量：160Ah 电量：4.096KWh（尺寸： 643*196*570mm）不带配重，总重量：198kg，带加热功能，带4G模块，自研BMS。,643.0,196.0,570.0,79,0
F24315L,EVE,25.6,315.0,620x280x605,280.0,N/A,N/A,105,8S3P,24,0,型号：F24315L叉车项目： 电芯：EVELF105 组合方式：8S3P 电压：25.6V 容量：315Ah 电量：8.064KWh（620×280×605mm）总重量：280kg，不带配重，带加热功能，带4G模块，BMS-自研。,620.0,280.0,605.0,263,0
F48210F,EVE,51.2,210.0,750x340x550,355.0,N/A,N/A,105,16S2P,48,205,型号：F48210F牵引叉车项目： 电芯：EVELF105 组合方式：16S2P 电压：51.2V 容量：210Ah 电量：10.752KWh（750*340*550mm）带配重，铁块重量205KG，总重量：355kg，带4G模块功能，带加热功能，自研BMS。,750.0,340.0,550.0,633,0
F24560N,瑞浦,25.6,560.0,780x425x470,180.0,N/A,Avant,280,8S2P,24,0,型号：F24560N叉车项目： 电芯：瑞浦280Ah ，组合方式：8S2P 电压：25.6V 容量：560Ah 电量：14.336KWh（箱体最大尺寸：780*425*470mm），无配重，总重量180kg，带加热功能，带4G模块，自研BMS。（叉车型号：Avant）,780.0,425.0,470.0,350,1
F48690D,EVE,51.2,690.0,822x730x574,,N/A,N/A,230,16S3P,48,675,型号：F48690D叉车项目： 电芯：EVE230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：822*730*574mm）带加热功能，带配重，铁块重量：675kg，带4G模块功能，BMS-自研,822.0,730.0,574.0,1259,0
F24100Q,EVE,25.6,100.0,660x145x590,60.0,N/A,N/A,50,8S2P,24,0,型号：F24100Q叉车项目： 电芯：瑞普50Ah 组合方式：8S2P 电压：25.6V 容量：100Ah 电量：2.56KWh（660*145*590mm）无配重，总重量：60KG，带加热功能，带4G功能，自研BMS。（充放电及通讯线缆去掉波纹管，确保线缆可以收纳在箱体590毫米高度以内）,660.0,145.0,590.0,25,0
F80460AG,瑞浦,83.2,460.0,982x658x744,1295.0,N/A,Hyundai 30BE-X,230,26S2P,80,905,型号：F80460AG叉车项目： 电芯：瑞浦230Ah ，组合方式：26S2P 电压：83.2V 容量：460Ah 电量：38.272KWh（箱体尺寸：982*658*744mm），配重重量905kg，总重量1295KG，带加热功能，带4G模块，自研BMS。（叉车型号：现代30BE-X）,982.0,658.0,744.0,1393,1
F48420CM,EVE,51.2,420.0,1030x490x655,1032.0,N/A,Baoli KBE 20,105,16S4P,48,768,型号：F48420CM冷库叉车项目： 电芯：EVELF105 组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：1030*490*655mm），配重768KG，总重量：1032KG，带4G模块，带加热功能，BMS-自研。(叉车型号：BAOLI KBE 20),1030.0,490.0,655.0,816,0
F80608F,EVE,80.0,608.0,852x1025x784,1770.0,N/A,Hyster J3.0XN,304,25S2P,80,1284,型号：F80608F叉车项目： 电芯：EVE304Ah ，组合方式：25S2P 电压：80V 容量：608Ah 电量：48.64KWh（箱体尺寸：852*1025*784）配重1284KG，总重量：1770KG，带加热功能，带4G模块，自研BMS。（叉车型号Hyster J3.0XN）,852.0,1025.0,784.0,1465,0
F24210Q,EVE,25.6,210.0,638x193x560,,N/A,N/A,105,8S2P,24,0,型号：F24210E叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（638*193*560mm）不带配重。带加热，带4G模块，自研BMS,638.0,193.0,560.0,145,0
F80560L,瑞浦,80.0,560.0,1028x855x784,,N/A,N/A,280,25S2P,80,1383,"型号：F80560L叉车项目： 电芯：瑞浦280Ah ，组合方式：25S2P 电压：80V 容量：560Ah 电量：44.8KWh（箱体最大尺寸： 1028*855*784mm）配重1383KG,带加热功能，带4G模块，自研BMS。",1028.0,855.0,784.0,1444,1
F48420BR,EVE,51.2,420.0,980x785x525,1100.0,N/A,Clark,105,16S4P,48,877.6,型号：F48420BR叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：980x785x525mm）带配重，铁块重量877.6KG，总重量1100KG，带加热功能，带4G模块，BMS-自研。（克拉克通讯协议）,980.0,785.0,525.0,799,0
F24210K,EVE,25.6,210.0,624x284x627,,N/A,N/A,105,8S2P,24,194,型号：F24210K叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（624*284*627mm）带配重，铁块重量194KG，带加热功能，带4G模块，BMS-自研。,624.0,284.0,627.0,140,0
F24460L-A,瑞浦,25.6,460.0,790x350x790,420.0,N/A,Hyster L025,230,8S2P,24,288,型号：F24460L-A叉车项目： 电芯：瑞浦230 组合方式：8S2P 电压：25.6V 容量：460Ah 电量：11.776KWh（790x350x790mm），配重288KG，总重量420KG，带加热功能，带4G模块，BMS-自研。（叉车型号：hysterL025）,790.0,350.0,790.0,325,1
F48400F,瑞浦,51.2,400.0,825x625x612,840.0,N/A,Crown SCF6240,100,16S4P,48,707,型号：F48400F叉车项目： 电芯：瑞浦100Ah 组合方式：16S4P 电压：51.2V 容量：400Ah 电量：20.48KWh。（箱体尺寸：825x625x612mm），配重707KG，总重量：840KG，带优克联4G模块，带加热功能，BMS-自研，客户端用SPE充电器充电。（叉车型号Crown SCF 6240）,825.0,625.0,612.0,746,1
F80420B,EVE,80.0,420.0,1023x706x782,,N/A,N/A,105,25S4P,80,-,型号：F80420B叉车项目： 电芯：EVE105Ah ，组合方式：25S4P 电压：80V 容量：420Ah 电量：33.6KWh（箱体尺寸：1023*706*782mm）。,1023.0,706.0,782.0,1362,0
F24560B,EVE,25.6,560.0,972x415x790,,N/A,N/A,280,8S2P,24,-,型号：F24560B叉车项目： 电芯：EVE280Ah ，组合方式：8S2P 电压：25.6V 容量：560Ah 电量：14.336KWh（箱体最大尺寸：972*415*790mm）。,972.0,415.0,790.0,339,0
F48315L,EVE,51.2,315.0,830x522x625,,N/A,N/A,105,16S3P,48,533,型号：F48315L叉车项目： 电芯：EVELF105 组合方式：16S3P 电压：51.2V 容量：315Ah 电量：16.128KWh（箱体尺寸：830*522*625mm），带配重，铁块533kg，BMS-自研。,830.0,522.0,625.0,722,0
F36608D,EVE,38.4,608.0,960x395x776,,N/A,N/A,304,12S2P,36,706,型号：F36608D叉车项目： 电芯：EVE304Ah ，组合方式：12S2P 电压：38.4V 容量：608Ah 电量：23.347KWh（箱体尺寸：960*395*776mm）（带配重，铁块重量706kg）BMS-自研，带加热功能，带4G模块功能,960.0,395.0,776.0,456,0
F48560R,瑞浦,51.2,560.0,1220x420x780,,N/A,N/A,280,16S2P,48,822,型号：F48560R叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：1220*420*780mm) 带配重，配重方式：铁块；配重重量：822KG；  放电插头：Anderson SB350A grey,1220.0,420.0,780.0,1134,1
F48460BC,EVE,51.2,460.0,830x630x627,863.0,N/A,N/A,230,16S2P,48,578,型号：F48460BC叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：830*630*627mm）带配重，铁块重量：578KG，总重量：863KG；带4G模块，带加热功能，BMS-自研。,830.0,630.0,627.0,886,0
F36690W-A,瑞浦,38.4,690.0,982x765x595,,N/A,Toyota 8FBCU25,230,12S3P,36,888,型号：F36690W-A叉车项目： 电芯：瑞浦230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：982*765*595mm），BMS-自研，（带配重，铁块重量：888kg）带4G模块，带加热功能。（叉车型号：Toyota 8FBCU25）,982.0,765.0,595.0,575,1
F24280S,瑞浦,25.6,280.0,800x200x670,310.0,N/A,N/A,280,16S1P,24,260,型号：F24280S叉车项目： 电芯：瑞浦280Ah 组合方式：16S1P 电压：25.6V 容量：280Ah 电量：7.168KWh。（配重重量260kg，总重量：310KG，箱体尺寸：800 x 200x 670mm）不带加热功能，不带4G模块，BMS-自研。,800.0,200.0,670.0,217,1
F24460AC,瑞浦,25.6,460.0,777x325x571,272.0,N/A,Yale MPW60E,230,8S2P,24,-,型号：F24460AC叉车项目： 电芯：瑞浦LF230Ah； 组合方式：8S2P； 电压：25.6V ；容量：460Ah； 电量：11.776KWh，箱体尺寸：777*325* 571mm；总重量272KG；带4G模块，带加热功能，加顶盖，屏幕线3米， 放电插头：Anderson  SB 175 Red ；自研BMS。（叉车型号： Yale MPW60E）,777.0,325.0,571.0,309,1
